"bien_id","code_dep","code_commune","type_local","surface_carrez","surface_reelle","nombre_pieces"
62,"78","423",Appartement,106.19,107,5
63,"78","545",Appartement,67.76,70,4
64,"78","545",Appartement,40.55,40,2
65,"78","551",Appartement,84.31,142,5
66,"78","586",Appartement,74.0,74,3
67,"78","640",Appartement,49.16,48,2
68,"83","062",Appartement,50.74,50,2
69,"83","069",Appartement,20.15,20,1
70,"83","112",Appartement,47.52,38,2
71,"83","123",Maison,86.92,91,5
72,"84","007",Appartement,37.24,40,2
73,"85","047",Appartement,43.12,45,2
74,"86","062",Appartement,30.42,30,1
75,"86","194",Appartement,71.03,75,4
76,"87","075",Appartement,62.95,62,2
77,"87","085",Appartement,43.54,43,2
78,"91","249",Appartement,128.34,128,5
79,"91","689",Appartement,43.42,43,2
80,"92","025",Appartement,49.45,55,3
81,"92","026",Appartement,62.1,65,3
82,"92","036",Appartement,59.35,59,3
83,"92","044",Appartement,52.85,55,2
84,"93","032",Maison,106.31,90,4
85,"93","051",Appartement,77.93,77,4
86,"93","057",Appartement,46.0,46,2
87,"93","071",Appartement,24.63,24,2
88,"94","044",Appartement,67.1,67,3
89,"94","060",Maison,80.0,66,4
90,"94","060",Appartement,48.02,49,2
91,"94","080",Appartement,16.37,17,1
92,"95","252",Appartement,72.53,69,4
93,"95","388",Maison,90.07,93,5
94,"95","607",Appartement,57.1,56,3
95,"01","262",Appartement,41.82,47,1
96,"02","408",Appartement,165.11,156,6
97,"03","190",Appartement,124.01,77,3
98,"04","073",Appartement,24.32,25,1
99,"04","166",Appartement,106.43,133,4
100,"04","209",Appartement,32.89,33,1
101,"06","004",Appartement,37.66,41,2
102,"06","027",Appartement,58.42,58,3
103,"06","088",Appartement,99.04,98,4
104,"06","088",Appartement,30.2,95,3
105,"06","088",Appartement,68.75,68,3
106,"06","159",Appartement,56.05,58,2
107,"10","323",Appartement,55.5,52,3
108,"13","119",Appartement,53.09,51,3
109,"13","201",Appartement,48.24,50,2
110,"13","204",Appartement,28.4,30,1
111,"13","206",Appartement,51.01,51,3
112,"13","209",Appartement,51.54,52,3
113,"14","118",Appartement,34.83,59,2
114,"14","333",Appartement,12.44,13,1
115,"14","715",Appartement,53.76,53,2
116,"14","754",Maison,52.82,32,2
117,"17","300",Appartement,32.18,33,1
118,"17","414",Maison,49.9,50,3
119,"22","113",Appartement,68.3,67,4
120,"22","168",Appartement,54.42,57,2
121,"22","278",Appartement,64.0,64,4
122,"24","322",Appartement,31.05,33,1
123,"25","527",Appartement,127.96,147,5
124,"28","085",Maison,106.03,105,5
125,"30","003",Appartement,32.29,50,2
126,"30","007",Appartement,39.5,39,2
127,"30","133",Appartement,20.0,19,1
128,"30","189",Appartement,60.07,60,3
129,"32","013",Appartement,54.0,57,2
130,"33","005",Appartement,44.12,44,2
131,"33","063",Appartement,61.16,60,4
132,"33","075",Maison,86.3,86,4
133,"33","550",Appartement,39.23,45,2
134,"34","023",Appartement,24.6,24,1
135,"37","261",Appartement,42.2,42,2
136,"37","261",Appartement,63.1,70,3
137,"38","169",Appartement,21.0,20,1
138,"38","185",Appartement,95.74,95,3
139,"38","253",Appartement,60.55,62,3
140,"40","046",Maison,29.78,25,1
141,"40","088",Appartement,18.63,19,1
142,"40","304",Maison,82.35,47,3
143,"42","256",Maison,94.39,93,4
144,"44","109",Appartement,62.14,64,3
145,"44","190",Appartement,47.34,47,2
146,"44","204",Appartement,42.25,42,2
147,"45","234",Appartement,65.71,65,3
148,"45","286",Appartement,72.37,69,1
149,"50","002",Appartement,57.88,47,2
150,"51","454",Appartement,119.95,121,4
151,"54","395",Appartement,36.6,38,2
152,"56","062",Appartement,97.51,105,3
153,"59","368",Appartement,80.09,80,3
154,"59","378",Maison,29.73,30,2
155,"59","491",Maison,153.25,139,5
156,"60","159",Appartement,41.0,37,1
157,"60","159",Maison,220.72,210,8
158,"60","382",Appartement,30.38,30,2
159,"60","395",Appartement,72.91,74,4
160,"60","524",Appartement,67.47,68,3
161,"62","041",Appartement,45.5,45,2
162,"63","300",Appartement,62.72,47,2
163,"69","003",Appartement,108.84,109,4
164,"69","204",Appartement,43.25,43,2
165,"69","264",Appartement,78.72,71,3
166,"69","389",Appartement,32.82,38,1
167,"69","389",Appartement,75.31,75,3
168,"70","550",Appartement,75.87,76,4
169,"70","550",Appartement,168.38,106,4
170,"74","014",Appartement,21.29,21,1
171,"74","249",Appartement,76.14,76,3
172,"75","102",Appartement,36.91,37,3
173,"75","103",Appartement,66.0,12,1
174,"75","104",Appartement,25.34,25,2
175,"75","105",Appartement,21.34,20,1
176,"75","106",Appartement,28.55,28,1
177,"75","107",Appartement,82.62,83,3
178,"75","110",Appartement,30.18,31,2
179,"75","111",Appartement,58.45,56,3
180,"75","111",Appartement,31.12,30,2
181,"75","112",Appartement,44.95,50,2
182,"75","114",Appartement,25.06,26,1
183,"75","115",Appartement,37.38,37,2
184,"75","115",Appartement,99.96,97,6
185,"75","117",Appartement,63.16,75,3
186,"75","117",Appartement,47.12,47,2
187,"75","118",Appartement,53.01,50,3
188,"75","118",Appartement,52.46,51,3
189,"75","118",Appartement,52.24,50,2
190,"75","118",Appartement,29.13,30,2
191,"75","118",Appartement,67.8,68,3
192,"75","120",Appartement,21.01,25,1
193,"76","351",Appartement,19.9,20,1
194,"76","447",Appartement,45.84,30,1
195,"76","451",Appartement,39.3,39,2
196,"77","005",Appartement,32.99,29,2
197,"77","014",Appartement,24.06,25,1
198,"77","058",Appartement,53.6,53,2
199,"77","058",Appartement,31.42,31,1
200,"77","059",Maison,111.15,102,5
201,"77","192",Appartement,60.25,60,3
202,"77","259",Maison,75.06,76,4
203,"77","288",Appartement,33.49,33,2
204,"77","288",Appartement,44.94,45,2
205,"77","379",Appartement,66.54,76,3
206,"78","005",Appartement,42.2,42,2
207,"78","372",Appartement,67.6,66,4
208,"78","372",Appartement,53.05,55,3
209,"78","383",Appartement,27.81,28,1
210,"78","550",Maison,101.85,107,6
211,"78","621",Appartement,55.06,51,3
212,"78","646",Appartement,80.38,82,4
213,"82","096",Maison,71.05,71,3
214,"83","009",Appartement,37.6,51,2
215,"83","009",Appartement,15.2,15,1
216,"83","034",Appartement,29.85,30,2
217,"83","070",Appartement,64.84,64,3
218,"85","035",Appartement,37.82,37,2
219,"85","127",Appartement,64.41,64,3
220,"85","194",Appartement,63.63,64,3
221,"85","262",Maison,88.5,88,4
222,"88","372",Appartement,81.24,82,3
223,"90","010",Appartement,42.25,44,2
224,"90","010",Appartement,56.0,56,3
225,"91","114",Appartement,69.17,63,4
226,"91","225",Maison,146.94,168,6
227,"91","326",Appartement,49.0,49,3
228,"91","377",Appartement,93.02,96,5
229,"91","425",Appartement,40.0,44,2
230,"91","570",Maison,115.97,118,5
231,"91","589",Maison,90.0,45,2
232,"92","004",Appartement,67.23,66,4
233,"92","004",Appartement,40.69,40,3
234,"92","004",Appartement,54.2,54,2
235,"92","009",Appartement,52.47,52,3
236,"92","012",Appartement,65.62,56,1
237,"92","012",Appartement,87.15,88,4
238,"92","012",Appartement,23.8,23,1
239,"92","012",Appartement,31.2,29,2
240,"92","012",Appartement,78.02,119,4
241,"92","014",Appartement,76.85,77,1
242,"92","022",Appartement,59.73,50,3
243,"92","023",Appartement,40.8,74,3
244,"92","025",Appartement,61.06,62,3
245,"92","025",Appartement,38.05,35,2
246,"92","025",Appartement,32.02,32,2
247,"92","026",Appartement,94.32,92,4
248,"92","048",Appartement,61.97,63,3
249,"92","050",Appartement,61.93,61,3
250,"92","063",Appartement,25.16,25,1
251,"92","063",Appartement,46.75,46,2
252,"92","063",Appartement,48.5,47,2
253,"92","075",Appartement,44.17,43,2
254,"93","001",Appartement,35.0,35,2
255,"93","006",Appartement,30.45,30,2
256,"93","010",Appartement,70.56,71,3
257,"93","048",Appartement,102.46,147,6
258,"94","016",Appartement,21.13,21,1
259,"94","022",Appartement,41.57,42,2
260,"94","033",Appartement,29.07,15,1
261,"94","041",Appartement,68.02,67,3
262,"94","042",Appartement,73.81,76,3
263,"94","052",Appartement,50.08,50,2
264,"94","068",Appartement,61.93,62,3
265,"94","071",Appartement,34.2,34,2
266,"94","076",Appartement,39.39,39,2
267,"94","079",Appartement,84.23,82,4
268,"94","080",Appartement,50.6,50,3
269,"94","080",Appartement,25.14,20,1
270,"95","203",Appartement,64.0,63,3
271,"95","218",Appartement,45.04,46,2
272,"95","218",Appartement,56.86,57,3
273,"95","500",Appartement,77.71,77,4
274,"95","572",Appartement,61.05,61,3
275,"04","209",Appartement,105.71,119,4
276,"14","079",Appartement,30.09,30,2
277,"14","754",Appartement,30.38,30,2
278,"54","395",Appartement,47.04,46,2
279,"74","256",Appartement,63.14,62,3
280,"77","014",Appartement,45.61,49,2
281,"80","021",Appartement,34.99,35,1
282,"82","112",Appartement,67.19,67,4
283,"91","223",Appartement,31.49,36,1
284,"01","160",Appartement,82.59,75,3
285,"01","288",Maison,109.22,109,5
286,"04","070",Appartement,144.6,120,4
287,"06","029",Appartement,31.21,32,2
288,"06","032",Appartement,24.58,24,1
289,"06","079",Appartement,36.6,36,2
290,"06","083",Appartement,29.0,29,1
291,"06","083",Appartement,54.34,57,2
292,"06","088",Appartement,32.83,33,2
293,"06","088",Appartement,133.44,144,4
294,"10","325",Appartement,63.58,63,3
295,"10","343",Appartement,50.75,50,3
296,"10","362",Appartement,47.88,48,2
297,"10","362",Appartement,68.03,66,3
298,"11","170",Appartement,23.89,25,3
299,"11","170",Appartement,22.15,28,2
300,"13","005",Appartement,82.72,84,5
301,"13","022",Appartement,36.8,37,3
302,"13","028",Appartement,29.29,30,1
303,"13","028",Appartement,115.53,114,4
304,"13","101",Maison,92.99,61,3
305,"13","205",Appartement,64.45,63,3
306,"13","207",Appartement,24.89,40,3
307,"13","207",Appartement,22.71,22,1
308,"13","208",Appartement,85.37,86,4
309,"13","209",Appartement,31.28,32,1
310,"13","210",Appartement,112.09,111,5
311,"14","220",Appartement,41.78,43,2
312,"14","754",Appartement,47.05,46,2
313,"18","033",Appartement,77.87,78,3
314,"19","031",Appartement,70.19,71,3
315,"22","278",Appartement,168.7,123,4
316,"2A","362",Maison,32.16,32,2
317,"30","106",Maison,82.11,84,4
318,"30","189",Appartement,36.29,40,1
319,"30","189",Appartement,65.24,65,3
320,"31","203",Appartement,36.46,38,2
321,"31","555",Appartement,60.16,65,3
322,"33","039",Appartement,56.67,59,3
323,"33","039",Appartement,50.16,50,2
324,"33","063",Appartement,26.39,26,1
325,"33","514",Appartement,35.8,35,2
326,"33","522",Appartement,20.15,19,1
327,"33","533",Appartement,62.55,65,2
328,"34","003",Appartement,23.7,23,1
329,"34","079",Appartement,44.14,43,2
330,"34","157",Appartement,59.19,72,3
331,"34","301",Appartement,62.66,71,3
332,"35","210",Appartement,56.15,61,3
333,"35","238",Appartement,16.54,17,1
334,"37","261",Appartement,65.52,66,3
335,"38","185",Appartement,31.0,31,2
336,"38","185",Appartement,61.23,62,3
337,"38","185",Appartement,76.75,73,3
338,"38","191",Appartement,16.3,17,1
339,"38","421",Appartement,60.73,61,4
340,"38","421",Appartement,81.25,81,4
341,"39","526",Maison,97.41,101,5
342,"40","088",Appartement,85.32,78,4
343,"40","281",Appartement,45.94,46,2
344,"40","284",Maison,53.22,50,3
345,"40","312",Appartement,65.26,65,3
346,"40","312",Appartement,91.43,90,4
347,"40","317",Maison,74.39,74,4
348,"42","005",Appartement,90.2,66,3
349,"42","187",Appartement,76.75,77,3
350,"42","187",Appartement,41.31,42,2
351,"42","187",Appartement,61.37,59,2
352,"42","332",Appartement,75.95,70,4
353,"43","157",Appartement,36.98,50,2
354,"44","035",Maison,51.77,51,3
355,"44","109",Maison,62.88,50,1
356,"44","132",Appartement,67.98,68,2
357,"44","198",Appartement,53.25,52,2
358,"45","075",Appartement,60.7,60,3
359,"45","232",Appartement,70.03,68,4
360,"45","234",Appartement,44.39,45,2
361,"45","284",Appartement,26.25,26,1
362,"49","007",Appartement,71.08,75,3
363,"49","007",Appartement,21.62,20,1
364,"49","099",Appartement,39.78,40,2
365,"50","147",Appartement,59.19,59,2
366,"51","108",Appartement,31.79,30,1
367,"51","230",Appartement,43.85,44,2
368,"54","263",Appartement,58.53,56,3
369,"56","023",Appartement,38.01,38,2
370,"60","342",Appartement,43.84,44,2
371,"60","513",Appartement,64.45,80,4
372,"62","893",Maison,87.68,82,4
373,"64","102",Appartement,54.68,54,2
374,"69","089",Appartement,60.77,61,3
375,"69","176",Maison,104.11,102,4
376,"69","264",Appartement,56.02,57,3
377,"69","381",Appartement,28.17,54,3
378,"69","383",Appartement,49.13,52,1
379,"69","384",Appartement,51.01,52,2
380,"72","181",Appartement,20.92,21,1
381,"73","257",Appartement,30.84,27,2
382,"74","236",Appartement,16.7,25,2
383,"74","311",Appartement,47.17,47,2
384,"75","103",Appartement,27.37,26,2
385,"75","103",Appartement,26.43,11,1
386,"75","104",Appartement,34.6,27,2
387,"75","105",Appartement,27.01,26,1
388,"75","106",Appartement,29.5,29,1
389,"75","106",Appartement,110.09,109,5
390,"75","106",Appartement,165.15,163,5
391,"75","106",Appartement,78.83,79,3
392,"75","106",Appartement,48.96,52,2
393,"75","110",Appartement,36.47,29,2
394,"75","110",Appartement,49.6,50,2
395,"75","110",Appartement,69.08,71,3
396,"75","110",Appartement,50.78,48,3
397,"75","111",Appartement,18.21,23,1
398,"75","111",Appartement,130.65,135,5
399,"75","111",Appartement,53.8,53,3
400,"75","111",Appartement,26.98,23,2
401,"75","112",Appartement,64.38,57,3
402,"75","112",Appartement,48.65,50,2
403,"75","113",Appartement,47.03,51,2
404,"75","114",Appartement,52.28,31,3
405,"75","114",Appartement,77.97,75,4
406,"75","114",Appartement,54.56,50,3
407,"75","115",Appartement,10.8,12,1
408,"75","115",Appartement,55.63,62,3
409,"75","116",Appartement,360.95,357,8
410,"75","116",Appartement,30.02,27,1
411,"75","117",Appartement,50.22,55,2
412,"75","117",Appartement,28.35,14,1
413,"75","117",Appartement,48.88,50,3
414,"75","117",Appartement,131.25,135,7
415,"75","117",Appartement,39.34,42,3
416,"75","117",Appartement,22.84,22,1
417,"75","117",Appartement,83.25,80,4
418,"75","118",Appartement,13.15,11,1
419,"75","120",Appartement,46.01,48,2
420,"77","061",Appartement,39.6,52,2
421,"77","079",Appartement,45.45,46,2
422,"77","118",Appartement,60.7,60,3
423,"77","284",Appartement,55.2,55,3
424,"77","285",Appartement,100.8,100,5
425,"77","288",Appartement,25.45,25,1
426,"77","307",Appartement,40.35,40,1
427,"77","419",Appartement,99.42,99,4
428,"77","450",Maison,118.56,107,5
429,"77","487",Appartement,66.42,67,3
430,"78","146",Appartement,75.16,75,3
431,"78","165",Appartement,56.83,54,3
432,"78","358",Appartement,27.01,25,1
433,"78","372",Appartement,52.53,53,2
434,"78","382",Appartement,55.03,65,4
435,"78","481",Appartement,88.78,91,5
436,"78","586",Appartement,17.78,20,1
437,"78","646",Maison,98.99,110,5
438,"80","021",Appartement,19.97,20,1
439,"80","228",Maison,87.02,85,4
440,"82","121",Appartement,48.4,52,2
441,"83","009",Appartement,25.29,26,1
442,"83","112",Appartement,68.46,70,3
443,"83","137",Appartement,57.68,51,3
444,"84","031",Appartement,63.17,79,3
445,"85","164",Appartement,52.9,52,3
446,"87","085",Appartement,44.4,44,2
447,"87","161",Appartement,65.74,56,3
448,"88","160",Appartement,61.74,64,3
449,"88","181",Appartement,70.19,49,3
450,"91","086",Appartement,66.05,66,3
451,"91","156",Maison,89.43,89,5
452,"91","174",Appartement,71.64,69,3
453,"91","326",Maison,107.15,109,5
454,"92","002",Appartement,87.01,96,4
455,"92","004",Appartement,52.9,53,3
456,"92","004",Appartement,63.2,60,3
457,"92","004",Maison,122.8,75,5
458,"92","004",Appartement,53.39,52,2
459,"92","004",Appartement,25.5,27,1
460,"92","009",Appartement,27.73,22,2
461,"92","009",Appartement,56.21,50,3
462,"92","012",Appartement,96.33,93,4
463,"92","012",Appartement,49.42,50,2
464,"92","012",Appartement,51.34,50,2
465,"92","012",Appartement,149.71,148,5
466,"92","024",Appartement,44.5,44,2
467,"92","032",Appartement,23.95,20,1
468,"92","036",Maison,76.07,75,3
469,"92","040",Maison,70.0,55,3
470,"92","044",Appartement,66.05,65,3
471,"92","044",Appartement,85.07,84,4
472,"92","048",Appartement,58.94,59,3
473,"92","050",Appartement,30.52,45,3
474,"92","050",Appartement,71.62,68,3
475,"92","051",Appartement,48.65,40,3
476,"92","051",Appartement,122.79,130,4
477,"92","060",Appartement,68.51,67,3
478,"92","062",Appartement,23.28,22,1
479,"92","063",Appartement,22.51,22,1
480,"92","072",Appartement,53.68,53,2
481,"92","073",Maison,88.9,87,4
482,"93","006",Appartement,64.41,60,4
483,"93","045",Appartement,21.28,21,1
484,"93","045",Appartement,49.28,48,3
485,"93","048",Appartement,64.41,48,3
486,"93","048",Appartement,82.56,83,4
487,"93","072",Appartement,73.6,73,4
488,"93","073",Appartement,93.49,93,5
489,"94","002",Maison,72.52,75,4
490,"94","002",Appartement,59.69,57,3
491,"94","004",Appartement,85.22,84,4
492,"94","018",Appartement,34.92,34,2
493,"94","022",Maison,49.45,31,1
494,"94","028",Appartement,81.95,82,4
495,"94","037",Appartement,68.12,68,3
496,"94","041",Appartement,20.5,25,1
497,"94","043",Appartement,26.72,28,1
498,"94","044",Appartement,41.7,39,2
499,"94","044",Appartement,63.77,63,3
500,"94","052",Appartement,44.04,52,3
501,"94","052",Appartement,28.5,28,1
502,"94","060",Maison,94.35,81,5
503,"94","060",Appartement,77.15,77,4
504,"94","060",Appartement,72.75,72,4
505,"94","068",Maison,304.8,300,9
506,"94","074",Maison,82.21,86,4
507,"94","078",Appartement,40.04,39,2
508,"94","080",Appartement,77.41,82,4
509,"94","080",Appartement,146.82,150,5
510,"95","039",Appartement,41.75,45,3
511,"95","199",Appartement,56.91,61,3
512,"95","219",Appartement,69.31,70,3
513,"95","306",Appartement,80.28,94,4
514,"95","527",Maison,77.7,78,4
515,"01","033",Appartement,108.65,91,4
516,"01","258",Appartement,86.8,90,3
517,"01","354",Appartement,52.58,52,2
518,"03","190",Appartement,34.9,38,1
519,"06","004",Appartement,22.47,23,2
520,"06","012",Appartement,47.42,47,2
521,"06","029",Appartement,66.12,67,1
522,"06","029",Appartement,67.99,70,2
523,"06","033",Appartement,59.74,62,3
524,"06","083",Appartement,46.66,46,2
525,"06","083",Appartement,42.84,42,2
526,"06","092",Appartement,22.71,25,1
527,"07","019",Appartement,59.05,62,3
528,"07","042",Appartement,85.93,86,5
529,"07","304",Appartement,28.52,29,2
530,"11","262",Appartement,27.76,48,1
531,"11","266",Appartement,21.51,22,2
532,"13","022",Appartement,50.43,35,2
533,"13","119",Appartement,64.3,65,3
534,"13","201",Appartement,53.66,54,3
535,"13","201",Appartement,20.37,24,1
536,"13","202",Appartement,35.27,35,1
537,"13","204",Appartement,55.7,53,3
538,"13","204",Appartement,33.46,27,0
539,"13","207",Appartement,22.8,21,2
540,"13","208",Appartement,51.43,51,1
541,"13","208",Appartement,20.45,20,1
542,"13","208",Appartement,17.1,18,1
543,"13","208",Appartement,103.14,96,4
544,"13","209",Appartement,68.81,68,3
545,"13","209",Appartement,76.15,77,5
546,"13","210",Appartement,48.14,50,2
547,"13","210",Appartement,27.3,30,1
548,"13","213",Appartement,67.2,68,4
549,"14","754",Appartement,36.23,36,2
550,"19","031",Appartement,27.0,25,1
551,"22","278",Appartement,36.08,35,2
552,"25","265",Appartement,32.0,32,1
553,"26","058",Appartement,66.81,80,4
554,"26","281",Appartement,73.65,75,4
555,"27","299",Appartement,40.43,43,2
556,"28","085",Appartement,32.2,34,2
557,"28","085",Appartement,65.63,65,3
558,"28","134",Appartement,58.87,58,3
559,"30","189",Appartement,42.47,43,2
560,"31","066",Maison,104.56,104,5
561,"31","113",Appartement,78.83,80,3
562,"31","555",Appartement,68.06,85,3
563,"33","051",Maison,42.0,42,2
564,"33","063",Appartement,51.43,47,2
565,"33","081",Appartement,58.22,60,3
566,"33","249",Maison,86.01,80,4
567,"33","281",Appartement,59.74,60,3
568,"33","522",Appartement,21.55,22,1
569,"33","550",Appartement,52.66,52,3
570,"34","108",Appartement,36.69,31,2
571,"34","301",Appartement,44.09,44,2
572,"34","301",Appartement,22.13,21,1
573,"37","261",Appartement,51.26,53,2
574,"38","185",Appartement,18.0,19,0
575,"38","185",Appartement,73.12,68,3
576,"38","186",Appartement,35.6,35,2
577,"38","229",Appartement,132.05,141,4
578,"38","249",Appartement,74.5,75,3
579,"38","249",Appartement,42.06,42,2
580,"39","470",Appartement,23.57,23,2
581,"40","133",Appartement,23.53,24,1
582,"40","312",Appartement,88.35,89,4
583,"42","218",Appartement,74.57,74,3
584,"42","218",Appartement,47.9,48,2
585,"44","109",Appartement,69.11,67,4
586,"44","132",Appartement,24.04,24,1
587,"44","162",Appartement,103.79,94,5
588,"44","162",Appartement,61.06,60,3
589,"45","075",Appartement,69.81,69,4
590,"45","258",Appartement,140.0,110,3
591,"49","007",Appartement,77.18,76,3
592,"49","007",Appartement,82.6,77,4
593,"49","099",Appartement,53.6,50,2
594,"49","347",Appartement,57.0,56,3
595,"51","454",Appartement,74.15,75,3
596,"51","454",Appartement,92.5,95,4
597,"53","062",Appartement,67.77,65,3
598,"53","073",Appartement,52.26,52,3
599,"59","220",Appartement,58.27,57,3
600,"59","350",Appartement,133.89,134,5
601,"59","410",Appartement,32.69,33,1
602,"60","057",Appartement,21.92,32,1
603,"62","604",Appartement,71.74,70,4
604,"66","004",Appartement,30.62,31,2
605,"69","078",Appartement,64.3,64,3
606,"69","081",Appartement,102.76,102,6
607,"69","143",Appartement,53.05,52,2
608,"69","149",Appartement,38.12,37,2
609,"69","149",Appartement,46.65,46,2
610,"69","149",Appartement,72.0,71,3
611,"69","382",Appartement,29.02,31,1
612,"69","385",Appartement,143.12,139,3
613,"73","235",Appartement,17.94,21,1
614,"73","306",Appartement,42.3,39,2
615,"74","019",Appartement,46.28,46,2
616,"74","056",Appartement,33.66,37,2
617,"75","106",Appartement,85.61,90,4
618,"75","107",Appartement,50.04,48,3
619,"75","109",Appartement,39.86,35,2
620,"75","110",Appartement,31.65,37,1
621,"75","111",Appartement,62.72,50,3
622,"75","113",Appartement,30.81,32,2
623,"75","116",Appartement,40.8,41,1
624,"75","120",Appartement,55.23,85,3
625,"77","053",Appartement,71.59,71,4
626,"77","259",Appartement,60.22,60,3
627,"78","190",Appartement,23.62,23,1
628,"78","362",Appartement,79.74,75,4
629,"78","401",Maison,156.5,156,6
630,"83","009",Appartement,84.28,90,2
631,"83","019",Appartement,15.86,15,1
632,"83","034",Appartement,87.49,64,3
633,"83","062",Appartement,35.55,38,2
634,"83","069",Appartement,121.99,118,4
635,"83","130",Appartement,56.15,61,3
636,"83","137",Appartement,81.5,84,4
637,"83","137",Appartement,97.04,50,2
638,"83","137",Appartement,65.4,69,3
639,"88","225",Appartement,73.78,74,4
640,"90","010",Appartement,34.48,34,2
641,"91","201",Appartement,63.54,59,3
642,"91","425",Appartement,25.35,29,1
643,"92","004",Appartement,19.5,24,1
644,"92","012",Appartement,61.23,63,3
645,"92","024",Appartement,16.98,17,1
646,"92","026",Appartement,59.72,59,3
647,"92","026",Appartement,33.58,34,2
648,"93","007",Appartement,53.1,54,3
649,"93","063",Appartement,67.0,67,3
650,"94","033",Appartement,52.05,50,3
651,"94","068",Appartement,46.6,35,2
652,"94","068",Appartement,41.64,41,3
653,"94","069",Appartement,35.76,28,2
654,"94","080",Appartement,36.15,37,2
655,"95","277",Appartement,37.23,36,2
656,"95","428",Appartement,115.26,98,4
657,"01","143",Appartement,130.8,130,6
658,"01","354",Appartement,58.71,60,2
659,"06","027",Appartement,76.16,77,3
660,"06","029",Appartement,83.21,96,4
661,"06","030",Appartement,29.07,25,1
662,"06","030",Appartement,90.45,105,4
663,"06","044",Appartement,103.92,120,5
664,"06","088",Appartement,69.0,36,3
665,"06","088",Appartement,47.5,62,3
666,"06","088",Appartement,52.8,42,1
667,"06","094",Appartement,63.15,75,3
668,"06","123",Appartement,66.02,65,3
669,"06","155",Appartement,35.76,33,3
670,"06","161",Appartement,26.71,27,1
671,"10","362",Appartement,35.63,39,2
672,"10","387",Appartement,32.34,33,2
673,"11","144",Appartement,37.12,36,2
674,"11","170",Appartement,32.53,45,3
675,"11","202",Maison,24.61,30,2
676,"11","262",Appartement,111.96,109,4
677,"11","262",Appartement,34.34,34,1
678,"11","379",Appartement,33.08,44,2
679,"13","028",Appartement,28.34,28,2
680,"13","201",Appartement,38.54,40,2
681,"13","202",Appartement,20.2,21,1
682,"13","204",Appartement,29.86,30,2
683,"13","205",Appartement,27.65,30,1
684,"13","210",Appartement,68.45,68,3
685,"13","210",Appartement,68.89,70,3
686,"13","212",Appartement,65.72,65,4
687,"13","215",Appartement,125.85,106,2
688,"14","715",Appartement,41.07,39,2
689,"18","279",Appartement,30.84,30,1
690,"29","019",Appartement,53.11,53,3
691,"29","232",Appartement,84.69,81,5
692,"2A","041",Appartement,87.16,89,4
693,"2A","070",Appartement,37.78,38,2
694,"30","034",Appartement,45.23,47,3
695,"30","133",Appartement,26.4,27,2
696,"33","009",Appartement,31.12,31,1
697,"33","009",Appartement,52.0,64,3
698,"33","063",Appartement,18.52,39,1
