"code_dep","code_commune","nom_commune","population_municipale","population_comptee_a_part"
"01","070",Cesseins,"",""
"01","071",Cessy,4808,117
"01","072",Ceyzériat,3194,62
"01","073",Ceyzérieu,1000,25
"01","074",Chalamont,2589,35
"01","075",Chaleins,1382,31
"01","076",Chaley,125,3
"01","077",Challes-la-Montagne,196,3
"01","078",Challex,1557,33
"01","079",Champagne-en-Valromey,811,31
"01","080",Champdor-Corcelles,643,14
"01","081",Champfromier,735,21
"01","082",Chanay,628,14
"01","083",Chaneins,927,17
"01","084",Chanoz-Châtenay,895,18
"01","085",La Chapelle-du-Châtelard,400,5
"01","086",Charancin,"",""
"01","087",Charix,282,10
"01","088",Charnoz-sur-Ain,903,27
"01","089",Château-Gaillard,2253,50
"01","090",Châtenay,356,6
"01","091",Châtillon-en-Michaille,"",""
"01","092",Châtillon-la-Palud,1604,58
"01","093",Châtillon-sur-Chalaronne,4931,203
"01","094",Chavannes-sur-Reyssouze,761,12
"01","095",Nivigne et Suran,853,12
"01","096",Chaveyriat,1034,30
"01","097",Chavornay,"",""
"01","098",Chazey-Bons,1159,36
"01","099",Chazey-sur-Ain,1566,57
"01","100",Cheignieu-la-Balme,131,4
"01","101",Chevillard,152,7
"01","102",Chevroux,961,15
"01","103",Chevry,2149,47
"01","104",Chézery-Forens,461,10
"01","105",Civrieux,1829,53
"01","106",Cize,179,7
"01","107",Cleyzieu,133,4
"01","108",Coligny,1176,24
"01","109",Collonges,2226,46
"01","110",Colomieu,156,2
"01","111",Conand,132,1
"01","112",Condamine,450,12
"01","113",Condeissiat,817,12
"01","114",Confort,667,12
"01","115",Confrançon,1333,30
"01","116",Contrevoz,498,12
"01","117",Conzieu,151,2
"01","118",Corbonod,1278,32
"01","119",Corcelles,"",""
"01","120",Cordieux,"",""
"01","121",Corlier,116,1
"01","122",Cormaranche-en-Bugey,"",""
"01","123",Cormoranche-sur-Saône,1162,35
"01","124",Cormoz,689,8
"01","125",Corveissiat,612,13
"01","126",Coupy,"",""
"01","127",Courmangoux,508,8
"01","128",Courtes,305,1
"01","129",Crans,291,6
"01","130",Bresse Vallons,2363,44
"01","131",Craz,"",""
"01","132",Crépieux-la-Pape,"",""
"01","133",Cressin-Rochefort,394,6
"01","134",Crottet,1758,45
"01","135",Crozet,2171,64
"01","136",Cruzilles-lès-Mépillat,893,20
"01","137",Cuisiat,"",""
"01","138",Culoz,3004,64
"01","139",Curciat-Dongalon,444,5
"01","140",Curtafond,767,19
"01","141",Cuzieu,453,15
"01","142",Dagneux,4777,57
"01","143",Divonne-les-Bains,9951,239
"01","144",Dommartin,"",""
"01","145",Dompierre-sur-Veyle,1179,22
"01","146",Dompierre-sur-Chalaronne,436,3
"01","147",Domsure,492,3
"01","148",Dortan,1879,46
"01","149",Douvres,1076,28
"01","150",Drom,214,5
"01","151",Druillat,1146,27
"01","152",Echallon,748,20
"01","153",Echenevex,2115,74
"01","154",Etrez,"",""
"01","155",Evosges,143,4
"01","156",Faramans,815,12
"01","157",Fareins,2250,42
"01","158",Farges,1048,17
"01","159",Feillens,3365,71
"01","160",Ferney-Voltaire,10026,163
"01","161",Fitignieu,"",""
"01","162",Flaxieu,65,3
"01","163",Foissiat,2038,35
"01","164",Forens,"",""
"01","165",Francheleins,1594,33
"01","166",Frans,2423,61
"01","167",Garnerans,634,24
"01","168",Genay,"",""
"01","169",Genouilleux,641,22
"01","170",Béard-Géovreissiat,1053,28
"01","171",Géovreisset,844,42
"01","172",Germagnat,"",""
"01","173",Gex,13121,270
"01","174",Giron,178,2
"01","175",Gorrevod,784,23
"01","176",Le Grand-Abergement,"",""
"01","177",Grand-Corent,183,6
"01","178",Granges,"",""
"01","179",Grièges,1881,52
"01","180",Grilly,839,21
"01","181",Groissiat,1241,50
"01","182",Groslée,"",""
"01","183",Guéreins,1479,29
"01","184",Hautecourt-Romanèche,763,26
"01","185",Plateau d'Hauteville,4844,176
"01","186",Hostiaz,"",""
"01","187",Haut Valromey,618,21
"01","188",Illiat,663,20
"01","189",Injoux-Génissiat,1115,26
"01","190",Innimond,87,3
"01","191",Izenave,154,4
"01","192",Izernore,2277,61
"01","193",Izieu,222,7
"01","194",Jassans-Riottier,6346,93
"01","195",Jasseron,1783,54
"01","196",Jayat,1226,13
"01","197",Journans,351,13
"01","198",Joyeux,268,3
"01","199",Jujurieux,2137,46
"01","200",Labalme,214,5
"01","201",Lacoux,"",""
"01","202",Lagnieu,7161,147
"01","203",Laiz,1313,42
"01","204",Le Poizat-Lalleyriat,735,15
"01","205",Lancrans,"",""
"01","206",Lantenay,277,6
"01","207",Lapeyrouse,317,12
"01","208",Lavours,131,4
"01","209",Léaz,778,16
"01","210",Lélex,228,4
"01","211",Lent,1395,35
"01","212",Lescheroux,718,9
"01","213",Leyment,1341,29
"01","214",Leyssard,158,6
"01","215",Surjoux-Lhopital,140,3
"01","216",Lhuis,894,21
"01","217",Lilignod,"",""
"01","218",Lochieu,"",""
"01","219",Lompnas,164,3
"01","220",Lompnes,"",""
"01","221",Lompnieu,"",""
"01","222",Longecombe,"",""
"01","223",Loyes,"",""
"01","224",Loyettes,3225,31
"01","225",Lurcy,372,8
"01","226",Luthézieu,"",""
"01","227",Magnieu,643,14
"01","228",Maillat,660,14
"01","229",Malafretaz,1235,24
"01","230",Mantenay-Montlin,312,7
"01","231",Manziat,1948,48
"01","232",Marboz,2276,47
"01","233",Marchamp,130,3
"01","234",Marignieu,169,3
"01","235",Marlieux,1159,87
"01","236",Marsonnas,1011,29
"01","237",Martignat,1667,65
"01","238",Massieux,2670,56
"01","239",Massignieu-de-Rives,620,14
"01","240",Matafelon-Granges,627,16
"01","241",Meillonnas,1356,34
"01","242",Mérignat,135,2
"01","243",Messimy-sur-Saône,1253,35
"01","244",Meximieux,7923,139
"01","245",Bohas-Meyriat-Rignat,943,21
"01","246",Mézériat,2217,36
"01","247",Mijoux,312,14
"01","248",Mionnay,2197,54
"01","249",Miribel,10122,151
"01","250",Misérieux,1974,252
"01","251",MoÃ«ns,"",""
"01","252",Mogneneins,786,22
"01","253",Mollon,"",""
"01","254",Montagnat,2116,51
"01","255",Montagnieu,647,12
"01","256",Montanay,"",""
"01","257",Montanges,351,10
"01","258",Montceaux,1190,32
"01","259",Montcet,702,16
"01","260",Le Montellier,302,5
"01","261",Monthieux,668,23
"01","262",Montluel,6886,83
"01","263",Montmerle-sur-Saône,3772,87
"01","264",Montracol,1016,20
"01","265",Montréal-la-Cluse,3456,71
"01","266",Montrevel-en-Bresse,2576,42
"01","267",Nurieux-Volognat,1025,23
"01","268",Murs-et-Gélignieux,246,3
"01","269",Nantua,3454,135
"01","270",Napt,"",""
"01","271",Nattages,"",""
"01","272",Neuville-les-Dames,1500,20
"01","273",Neuville-sur-Ain,1800,27
"01","274",Les Neyrolles,645,15
"01","275",Neyron,2569,50
"01","276",Niévroz,1624,27
"01","277",Nivollet-Montgriffon,117,2
"01","278",Ochiaz,"",""
"01","279",Oncieu,80,6
"01","280",Ordonnaz,138,1
"01","281",Ornex,4483,170
"01","282",Outriaz,258,6
"01","283",Oyonnax,22456,479
"01","284",Ozan,694,13
"01","285",Parcieux,1229,30
"01","286",Parves et Nattages,951,38
"01","287",Passin,"",""
"01","288",Péron,2717,55
"01","289",Péronnas,6520,291
"01","290",Pérouges,1273,32
"01","291",Perrex,842,7
"01","292",Le Petit-Abergement,"",""
"01","293",Peyriat,148,4
"01","294",Peyrieu,886,16
"01","295",Peyzieux-sur-Saône,686,13
"01","296",Pirajoux,420,8
"01","297",Pizay,867,15
"01","298",Plagne,150,2
"01","299",Le Plantay,584,8
"01","300",Le Poizat,"",""
"01","301",Polliat,2547,61
"01","302",Pollieu,163,5
"01","303",Poncin,1699,36
"01","304",Pont-d'Ain,2924,53
"01","305",Pont-de-Vaux,2213,43
"01","306",Pont-de-Veyle,1641,64
"01","307",Port,836,21
"01","308",Pougny,807,14
"01","309",Pouillat,85,0
"01","310",Prémeyzel,251,4
"01","311",Prémillieu,44,0
"01","312",Pressiat,"",""
"01","313",Prévessin-MoÃ«ns,8711,239
"01","314",Priay,1729,33
"01","315",Proulieu,"",""
"01","316",Pugieu,"",""
"01","317",Ramasse,330,6
"01","318",Rancé,726,17
"01","319",Relevant,466,9
"01","320",Replonges,3791,91
"01","321",Revonnas,888,29
"01","322",Reyrieux,4984,140
"01","323",Reyssouze,989,14
"01","324",Rignat,"",""
"01","325",Rignieux-le-Franc,1032,18
"01","326",Rillieux,"",""
"01","327",Romanèche,"",""
"01","328",Romans,597,4
"01","329",Rossillon,153,6
"01","330",Ruffieu,182,6
"01","331",Saint-Alban,187,0
"01","332",Saint-André-de-Bâgé,779,23
"01","333",Saint-André-de-Corcy,3369,59
"01","334",Saint-André-d'Huiriat,658,9
"01","335",Saint-André-le-Bouchoux,402,6
"01","336",Saint-André-sur-Vieux-Jonc,1174,22
"01","337",Saint-Bénigne,1311,27
"01","338",Groslée-Saint-Benoit,1227,37
"01","339",Saint-Bernard,1463,43
"01","340",Saint-Bois,"",""
"01","341",Saint-Champ,"",""
"01","342",Sainte-Croix,554,11
"01","343",Saint-Cyr-sur-Menthon,1793,41
"01","344",Saint-Denis-lès-Bourg,5943,166
"01","345",Saint-Denis-en-Bugey,2266,34
"01","346",Saint-Didier-d'Aussiat,858,19
"01","347",Saint-Didier-de-Formans,2035,63
"01","348",Saint-Didier-sur-Chalaronne,2938,65
"01","349",Saint-Eloi,503,5
"01","350",Saint-Etienne-du-Bois,2542,40
"01","351",Saint-Etienne-sur-Chalaronne,1571,26
"01","352",Saint-Etienne-sur-Reyssouze,583,6
"01","353",Sainte-Euphémie,1700,28
"01","354",Saint-Genis-Pouilly,13943,200
"01","355",Saint-Genis-sur-Menthon,486,7
"01","356",Saint-Georges-sur-Renon,208,5
"01","357",Saint-Germain-de-Joux,502,7
"01","358",Saint-Germain-les-Paroisses,429,3
"01","359",Saint-Germain-sur-Renon,246,3
"01","360",Saint-Jean-de-Gonville,1895,48
"01","361",Saint-Jean-de-Niost,1577,48
"01","362",Saint-Jean-de-Thurigneux,786,15
"01","363",Saint-Jean-le-Vieux,1772,70
"01","364",Saint-Jean-sur-Reyssouze,756,7
"01","365",Saint-Jean-sur-Veyle,1162,20
"01","366",Sainte-Julie,1082,18
"01","367",Saint-Julien-sur-Reyssouze,746,4
"01","368",Saint-Julien-sur-Veyle,838,15
"01","369",Saint-Just,942,25
"01","370",Saint-Laurent-sur-Saône,1688,28
"01","371",Saint-Marcel,1242,29
"01","372",Saint-Martin-de-Bavel,444,5
"01","373",Saint-Martin-du-Frêne,1023,30
"01","374",Saint-Martin-du-Mont,1871,45
"01","375",Saint-Martin-le-Châtel,782,20
"01","376",Saint-Maurice-de-Beynost,3962,39
"01","377",Saint-Maurice-d'Echazeaux,"",""
"01","378",Saint-Maurice-de-Gourdans,2645,54
"01","379",Saint-Maurice-de-Rémens,760,11
"01","380",Saint-Nizier-le-Bouchoux,632,13
"01","381",Saint-Nizier-le-Désert,921,18
"01","382",Sainte-Olive,279,2
"01","383",Saint-Paul-de-Varax,1562,21
"01","384",Saint-Rambert-en-Bugey,2188,33
"01","385",Saint-Rémy,985,23
"01","386",Saint-Sorlin-en-Bugey,1127,66
"01","387",Saint-Sulpice,256,3
"01","388",Saint-Trivier-de-Courtes,1102,9
"01","389",Saint-Trivier-sur-Moignans,1834,43
"01","390",Saint-Vulbas,1246,21
"01","391",Salavre,271,8
"01","392",Samognat,656,27
"01","393",Sandrans,544,5
"01","394",Sathonay-camp,"",""
"01","395",Sathonay-village,"",""
"01","396",Sault-Brénaz,977,13
"01","397",Sauverny,978,19
"01","398",Savigneux,1421,17
"01","399",Ségny,2107,51
"01","400",Seillonnaz,139,3
"01","401",Sergy,2167,71
"01","402",Sermoyer,652,20
"01","403",Serrières-de-Briord,1295,41
"01","404",Serrières-sur-Ain,135,2
"01","405",Servas,1280,29
"01","406",Servignat,174,1
"01","407",Seyssel,1002,18
"01","408",Simandre-sur-Suran,661,12
"01","409",Songieu,"",""
"01","410",Sonthonnax-la-Montagne,300,7
"01","411",Souclin,273,6
"01","412",Sulignat,595,12
"01","413",Surjoux,"",""
"01","414",Sutrieu,"",""
"01","415",Talissieu,499,6
"01","416",Tenay,1014,11
"01","417",Thézillieu,"",""
"01","418",Thil,1087,27
"01","419",Thoiry,6021,176
"01","420",Thoissey,1690,8
"01","421",Torcieu,729,16
"01","422",Tossiat,1355,36
"01","423",Toussieux,1124,21
"01","424",Tramoyes,1776,43
"01","425",La Tranclière,288,7
"01","426",Val-Revermont,2538,59
"01","427",Trévoux,6920,164
"01","428",Valeins,126,1
"01","429",Vandeins,707,13
"01","430",Varambon,619,12
"01","431",Vaux-en-Bugey,1227,30
"01","432",Verjon,323,2
"01","433",Vernoux,313,4
"01","434",Versailleux,472,10
"01","435",Versonnex,2157,69
"01","436",Vesancy,481,11
"01","437",Vescours,223,5
"01","438",Vésenex-Crassy,"",""
"01","439",Vésines,99,4
"01","440",Veyziat,"",""
"01","441",Vieu-d'Izenave,734,18
"01","442",Vieu,"",""
"01","443",Villars-les-Dombes,4978,95
"01","444",Villebois,1196,17
"01","445",Villemotier,615,21
"01","446",Villeneuve,1548,37
"01","447",Villereversure,1342,32
"01","448",Villes,389,8
"01","449",Villette-sur-Ain,759,14
"01","450",Villieu-Loyes-Mollon,3717,67
"01","451",Viriat,6595,150
"01","452",Virieu-le-Grand,1132,24
"01","453",Arvière-en-Valromey,710,23
"01","454",Virignin,1112,21
"01","455",Volognat,"",""
"01","456",Vongnes,71,2
"01","457",Vonnas,3181,59
"01","458",Vouvray,"",""
"01","459",Hauteville-Lompnés,"",""
"02","001",Abbécourt,502,11
"02","002",Achery,610,8
"02","003",Acy,1021,24
"02","004",Agnicourt-et-Séchelles,182,5
"02","005",Aguilcourt,380,8
"02","006",Aisonville-et-Bernoville,262,9
"02","007",Aizelles,122,1
"02","008",Aizy-Jouy,294,4
"02","009",Alaincourt,534,6
"02","010",Allemant,173,4
"02","011",Ambleny,1138,54
"02","012",Ambrief,71,0
"02","013",Amifontaine,386,9
"02","014",Amigny-Rouy,729,23
"02","015",Ancienville,72,1
"02","016",Andelain,216,9
"02","017",Anguilcourt-le-Sart,323,4
"02","018",Anizy-le-Grand,2574,53
"02","019",Annois,362,5
"02","020",Any-Martin-Rieux,455,8
"02","021",Archon,84,3
"02","022",Arcy-Sainte-Restitue,403,6
"02","023",Armentières-sur-Ourcq,102,3
"02","024",Arrancy,51,0
"02","025",Artemps,367,2
"02","026",Artonges,"",""
"02","027",Assis-sur-Serre,214,7
"02","028",Athies-sous-Laon,2606,60
"02","029",Attilly,354,12
"02","030",Aubencheul-aux-Bois,257,4
"02","031",Aubenton,661,6
"02","032",Aubigny-aux-Kaisnes,253,4
"02","033",Aubigny-en-Laonnois,104,2
"02","034",Audignicourt,121,4
"02","035",Audigny,280,9
"02","036",Augy,72,1
"02","037",Aulnois-sous-Laon,1386,30
"02","038",Les Autels,59,0
"02","039",Autremencourt,173,3
"02","040",Autreppes,180,3
"02","041",Autreville,807,15
"02","042",Azy-sur-Marne,384,2
"02","043",Bagneux,65,1
"02","044",Bancigny,25,0
"02","045",Barbonval,"",""
"02","046",Barenton-Bugny,557,9
"02","047",Barenton-Cel,108,5
"02","048",Barenton-sur-Serre,133,4
"02","049",Barisis-aux-Bois,739,13
"02","050",Barzy-en-Thiérache,323,2
"02","051",Barzy-sur-Marne,391,6
"02","052",Bassoles-Aulers,135,6
"02","053",Vallées en Champagne,571,6
"02","054",Bazoches-sur-Vesles,461,4
"02","055",Beaumé,88,2
"02","056",Beaumont-en-Beine,179,1
"02","057",Beaurevoir,1406,18
"02","058",Beaurieux,856,10
"02","059",Beautor,2714,28
"02","060",Beauvois-en-Vermandois,257,7
"02","061",Becquigny,246,7
"02","062",Belleau,137,4
"02","063",Bellenglise,378,8
"02","064",Belleu,3832,53
"02","065",Bellicourt,600,13
"02","066",Benay,196,2
"02","067",Bergues-sur-Sambre,210,5
"02","068",Berlancourt,88,4
"02","069",Berlise,105,2
"02","070",Bernot,445,12
"02","071",Berny-Rivière,658,15
"02","072",Berrieux,186,2
"02","073",Berry-au-Bac,670,4
"02","074",Bertaucourt-Epourdon,593,10
"02","075",Berthenicourt,195,2
"02","076",Bertricourt,152,3
"02","077",Berzy-le-Sec,379,9
"02","078",Besmé,163,3
"02","079",Besmont,149,0
"02","080",Besny-et-Loizy,333,9
"02","081",Béthancourt-en-Vaux,434,8
"02","082",Beugneux,110,0
"02","083",Beuvardes,750,15
"02","084",Bézu-le-Guéry,257,5
"02","085",Bézu-Saint-Germain,1015,25
"02","086",Bichancourt,1006,11
"02","087",Bieuxy,34,1
"02","088",Bièvres,92,3
"02","089",Billy-sur-Aisne,1148,21
"02","090",Billy-sur-Ourcq,207,10
"02","091",Blanzy-lès-Fismes,95,1
"02","092",Blérancourdelle,"",""
"02","093",Blérancourt,1298,59
"02","094",Blesmes,464,9
"02","095",Bohain-en-Vermandois,5686,78
"02","096",Bois-lès-Pargny,197,3
"02","097",Boncourt,256,2
"02","098",Bonneil,379,14
"02","099",Bonnesvalyn,221,5
"02","100",Bony,138,0
"02","101",Bosmont-sur-Serre,192,5
"02","102",Bouconville-Vauclair,191,6
"02","103",Boué,1339,16
"02","104",Bouffignereux,99,4
"02","105",Bouresches,196,2
"02","106",Bourg-et-Comin,810,12
"02","107",Bourguignon-sous-Coucy,107,4
"02","108",Bourguignon-sous-Montbavin,159,4
"02","109",La Bouteille,475,10
"02","110",Braine,2235,25
"02","111",Brancourt-en-Laonnois,721,11
"02","112",Brancourt-le-Grand,553,13
"02","113",Branges,"",""
"02","114",Brasles,1563,37
"02","115",Braye-en-Laonnois,190,6
"02","116",Braye-en-Thiérache,147,1
"02","117",Bray-Saint-Christophe,68,0
"02","118",Braye,129,2
"02","119",Brécy,327,6
"02","120",Brenelle,196,6
"02","121",Breny,240,4
"02","122",Brie,54,1
"02","123",Brissay-Choigny,301,5
"02","124",Brissy-Hamégicourt,651,10
"02","125",Brumetz,193,11
"02","126",Brunehamel,455,5
"02","127",Bruyères-sur-Fère,192,5
"02","128",Bruyères-et-Montbérault,1475,47
"02","129",Bruys,18,0
"02","130",Bucilly,194,7
"02","131",Bucy-le-Long,1861,42
"02","132",Bucy-lès-Cerny,194,3
"02","133",Bucy-lès-Pierrepont,404,9
"02","134",Buire,862,18
"02","135",Buironfosse,1157,17
"02","136",Burelles,128,3
"02","137",Bussiares,160,0
"02","138",Buzancy,200,3
"02","139",CaillouÃ«l-Crépigny,442,5
"02","140",Camelin,456,7
"02","141",La Capelle,1778,79
"02","142",Castres,253,5
"02","143",Le Catelet,185,6
"02","144",Caulaincourt,144,3
"02","145",Caumont,545,10
"02","146",Celles-lès-Condé,94,1
"02","147",La Celle-sous-Montmirail,"",""
"02","148",Celles-sur-Aisne,255,2
"02","149",Cerizy,62,2
"02","150",Cerny-en-Laonnois,63,0
"02","151",Cerny-lès-Bucy,116,3
"02","152",Cerseuil,89,0
"02","153",Cessières-Suzy,764,20
"02","154",Chacrise,365,7
"02","155",Chaillevois,166,5
"02","156",Chalandry,257,1
"02","157",Chambry,836,23
"02","158",Chamouille,273,2
"02","159",Champs,295,2
"02","160",Chaourse,544,12
"02","161",La Chapelle-Monthodon,"",""
"02","162",La Chapelle-sur-Chézy,291,8
"02","163",Charly-sur-Marne,2585,42
"02","164",Le Charmel,325,7
"02","165",Charmes,1654,26
"02","166",Chartèves,356,9
"02","167",Chassemy,890,14
"02","168",Château-Thierry,15254,362
"02","169",Châtillon-lès-Sons,84,0
"02","170",Châtillon-sur-Oise,125,0
"02","171",Chaudardes,88,1
"02","172",Chaudun,252,9
"02","173",Chauny,11653,419
"02","174",Chavignon,829,16
"02","175",Chavigny,161,4
"02","176",Chavonne,206,3
"02","177",Chérêt,139,2
"02","178",Chermizy-Ailles,106,2
"02","179",Chéry-Chartreuve,385,8
"02","180",Chéry-lès-Pouilly,721,14
"02","181",Chéry-lès-Rozoy,79,1
"02","182",Chevennes,117,3
"02","183",Chevregny,185,1
"02","184",Chevresis-Monceau,351,5
"02","185",Chézy-en-Orxois,390,15
"02","186",Chézy-sur-Marne,1351,45
"02","187",Chierry,1134,15
"02","188",Chigny,147,4
"02","189",Chivres-en-Laonnois,350,8
"02","190",Chivres-Val,518,12
"02","191",Chivy-lès-Etouvelles,523,5
"02","192",Chouy,371,7
"02","193",Cierges,65,1
"02","194",Cilly,186,8
"02","195",Ciry-Salsogne,910,25
"02","196",Clacy-et-Thierret,311,7
"02","197",Clairfontaine,535,102
"02","198",Clamecy,228,2
"02","199",Clastres,601,8
"02","200",Clermont-les-Fermes,106,1
"02","201",CÅ“uvres-et-Valsery,441,6
"02","202",Cohan,"",""
"02","203",Coincy,1282,20
"02","204",Coingt,65,2
"02","205",Colligis-Crandelain,229,3
"02","206",Colonfay,76,3
"02","207",Commenchon,216,3
"02","208",Concevreux,267,6
"02","209",Condé-en-Brie,708,11
"02","210",Condé-sur-Aisne,364,6
"02","211",Condé-sur-Suippe,294,3
"02","212",Condren,708,11
"02","213",Connigis,343,2
"02","214",Contescourt,61,1
"02","215",Corbeny,841,6
"02","216",Corcy,294,4
"02","217",Coucy-le-Château-Auffrique,992,9
"02","218",Coucy-lès-Eppes,628,12
"02","219",Coucy-la-Ville,200,72
"02","220",Coulonges-Cohan,436,15
"02","221",Coupru,152,4
"02","222",Courbes,32,0
"02","223",Courboin,301,12
"02","224",Courcelles-sur-Vesle,346,4
"02","225",Courchamps,84,2
"02","226",Courmelles,1863,30
"02","227",Courmont,120,1
"02","228",Courtemont-Varennes,339,6
"02","229",Courtrizy-et-Fussigny,71,0
"02","230",Couvrelles,186,6
"02","231",Couvron-et-Aumencourt,941,9
"02","232",Coyolles,362,10
"02","233",Cramaille,145,8
"02","234",Craonne,83,1
"02","235",Craonnelle,115,3
"02","236",Crécy-au-Mont,330,3
"02","237",Crécy-sur-Serre,1502,16
"02","238",Crépy,1816,31
"02","239",Crézancy,1244,85
"02","240",Croix-Fonsomme,218,3
"02","241",La Croix-sur-Ourcq,96,3
"02","242",Crouttes-sur-Marne,641,11
"02","243",Crouy,2923,47
"02","244",Crupilly,63,3
"02","245",Cuffies,1805,35
"02","246",Cugny,611,4
"02","247",Cugny-lès-Crouttes,"",""
"02","248",Cuirieux,156,3
"02","249",Cuiry-Housse,100,0
"02","250",Cuiry-lès-Chaudardes,73,4
"02","251",Cuiry-lès-Iviers,27,1
"02","252",Cuissy-et-Geny,71,2
"02","253",Cuisy-en-Almont,358,3
"02","254",Cutry,129,5
"02","255",Cys-la-Commune,153,2
"02","256",Dagny-Lambercy,129,3
"02","257",Dallon,437,13
"02","258",Dammard,370,13
"02","259",Dampleux,392,15
"02","260",Danizy,650,11
"02","261",Dercy,391,9
"02","262",Deuillet,211,3
"02","263",Dhuizel,112,0
"02","264",Dizy-le-Gros,730,16
"02","265",Dohis,99,2
"02","266",Dolignon,46,2
"02","267",Dommiers,292,10
"02","268",Domptin,647,13
"02","269",Dorengt,155,6
"02","270",Douchy,164,3
"02","271",Dravegny,130,2
"02","272",Droizy,78,2
"02","273",Dury,207,0
"02","274",Ebouleau,195,6
"02","275",Effry,319,6
"02","276",Englancourt,117,5
"02","277",Epagny,342,7
"02","278",Eparcy,28,5
"02","279",Epaux-Bézu,553,25
"02","280",Epieds,409,12
"02","281",L'Epine-aux-Bois,256,11
"02","282",Eppes,427,8
"02","283",Erlon,287,8
"02","284",Erloy,102,1
"02","285",Escaufourt,"",""
"02","286",Esquéhéries,867,11
"02","287",Essigny-le-Grand,1048,27
"02","288",Essigny-le-Petit,347,8
"02","289",Essises,411,11
"02","290",Essômes-sur-Marne,2745,73
"02","291",Estrées,410,8
"02","292",Etampes-sur-Marne,1305,28
"02","293",Etaves-et-Bocquiaux,553,10
"02","294",Etouvelles,207,8
"02","295",Etréaupont,853,7
"02","296",Etreillers,1197,21
"02","297",Etrépilly,121,2
"02","298",Etreux,1420,9
"02","299",Evergnicourt,546,6
"02","300",Fargniers,"",""
"02","301",Faucoucourt,"",""
"02","302",Faverolles,321,12
"02","303",Fayet,680,16
"02","304",La Fère,2838,135
"02","305",Fère-en-Tardenois,3001,55
"02","306",La Ferté-Chevresis,510,9
"02","307",La Ferté-Milon,2060,159
"02","308",Fesmy-le-Sart,476,8
"02","309",Festieux,671,5
"02","310",Fieulaine,248,7
"02","311",Filain,120,2
"02","312",La Flamengrie,1100,10
"02","313",Flavigny-le-Grand-et-Beaurain,444,5
"02","314",Flavigny-le-Petit,"",""
"02","315",Flavy-le-Martel,1669,34
"02","316",Fleury,128,5
"02","317",Fluquières,218,4
"02","318",Folembray,1381,18
"02","319",Fonsomme,490,8
"02","320",Fontaine-lès-Clercs,237,4
"02","321",Fontaine-lès-Vervins,901,189
"02","322",Fontaine-Notre-Dame,386,3
"02","323",Fontaine-Uterte,134,3
"02","324",Fontenelle,281,3
"02","325",Fontenelle-en-Brie,"",""
"02","326",Fontenoy,470,8
"02","327",Foreste,163,1
"02","328",Fossoy,513,6
"02","329",Fourdrain,425,9
"02","330",Francilly-Selency,530,7
"02","331",Franqueville,110,3
"02","332",Fresnes-en-Tardenois,265,4
"02","333",Fresnes-sous-Coucy,164,0
"02","334",Fresnoy-le-Grand,2958,70
"02","335",Fressancourt,183,8
"02","336",Frières-FaillouÃ«l,983,15
"02","337",Froidestrées,168,4
"02","338",Froidmont-Cohartille,252,10
